_id,Name,Type,Coordinates,Images,About,Who,Where,History,Facts
65424b98d8ce80baf2c12f81,Bajreshwari Mata Temple,Shakti_Peethas,"32.1019608,76.2698352",Images/Bajreshwari Mata Temple,"The Bajreshwari Mata Temple, also known as the Kangra Devi Temple or Vajreshwari Mata Mandir, is one of the 51 Shakti Peethas, which are significant pilgrimage sites associated with the goddess.<br><br>\nIt is located in the town of Kangra, Kangra district, Himachal Pradesh, India.","Bajreshwari Mata is a form oGoddess Durga. She is worshipped as the goddess of power and strength. Her name is derived from the Sanskrit words ""vajra"" (thunderbolt) and ""ishwari"" (goddess).<br><br>\nBajreshwari Mata is said to have emerged from the left breast of Sati when her body fell to the ground after she self-immolated at her father's yagna. The place where her left breast fell is said to be the Kangra Devi Temple.","The Bajreshwari Mata Temple is located in the town of Kangra, Kangra district, Himachal Pradesh, India. It is about 14 kilometers from Dharamshala, a popular tourist destination.","The Bajreshwari Mata Temple is believed to be over 1,000 years old. The earliest mention of the temple is found in the ancient Hindu texts, such as the Puranas and the Mahabharata.The temple is said to have been built by the Katoch dynasty, which ruled Kangra for over 800 years.<br><br>\nThe temple was destroyed several times by invaders, but it was always rebuilt.In the 16th century, the temple was invaded by the Mughal emperor Akbar. Akbar ordered the destruction of the temple, but the priest of the temple, Dhayanu Bhagat, managed to save the idol of the goddess.Dhayanu Bhagat is said to have offered his head to the goddess to save her idol.<br><br> \nThe goddess is said to have accepted his sacrifice and blessed him.The temple was rebuilt again after the Mughals left Kangra. The present structure of the temple dates back to the 17th century.","The Bajreshwari Mata Temple is one of the 51 Shakti Peethas, which are significant pilgrimage sites associated with the goddess.<br><br>\nThe temple is dedicated to the goddess Bajreshwari, a form of Goddess Durga.<br><br>\nThe temple is believed to be over 1,000 years old.<br><br>\nThe temple is known for its beautiful architecture and its serene surroundings.<br><br>\nThe temple is also a popular tourist destination.<br><br>\n"
65424b98d8ce80baf2c12f83,Ambika Mata Temple,Goddess Ambika,"32.0872801,76.2538702",Images/Ambika Mata Temple,"Ambika Mata Temple is a Hindu temple located in the Kangra Fort, Kangra, Himachal Pradesh, India. It is dedicated to the goddess Ambika Mata, a form of Goddess Durga.<br><br> \nThe temple is one of the oldest and most important Hindu temples in Himachal Pradesh.","Ambika Mata is a form of Goddess Durga. She is worshipped as the mother goddess and the protector of children. Her name is derived from the Sanskrit word ""ambika"", which means ""mother"".<br><br>\nAmbika Mata is said to have emerged from the forehead of Sati when her body fell to the ground after she self-immolated at her father's yagna. The place where her forehead fell is said to be the Kangra Fort.<br><br>","Ambika Mata Temple is located in the Kangra Fort, Kangra, Himachal Pradesh, India. The Kangra Fort is a historic fort complex that was once the capital of the Katoch dynasty. The fort is located on a hilltop and offers stunning views of the surrounding mountains and valleys.<br><br>","The Ambika Mata Temple is believed to be over 1,000 years old. The earliest mention of the temple is found in the ancient Hindu texts, such as the Puranas and the Mahabharata.<br><br>\nThe temple is said to have been built by the Katoch dynasty, which ruled Kangra for over 800 years. The temple was destroyed several times by invaders, but it was always rebuilt.<br><br>\nIn the 16th century, the temple was invaded by the Mughal emperor Akbar. Akbar ordered the destruction of the temple, but the idol of the goddess was saved by the priests of the temple.<br><br>","The Ambika Mata Temple is one of the most important Hindu temples in Himachal Pradesh.<br><br>\nThe temple is dedicated to the goddess Ambika Mata, a form of Goddess Durga.<br><br>\nThe temple is located in the Kangra Fort, a historic fort complex that was once the capital of the Katoch dynasty.<br><br>\nThe temple is believed to be over 1,000 years old.<br><br>\nThe temple is known for its beautiful architecture and its serene surroundings.<br><br>"
65424b98d8ce80baf2c12f84,Chamunda Devi Temple,Shakti_Peethas,"32.1482656,76.4185415",Images/Chamunda Devi Temple,"Chamunda Devi Temple is a Hindu temple dedicated to the goddess Chamunda Devi, a ferocious form of Goddess Durga. It is located in the village of Dharampur, about 15 kilometers from Dharamshala, Himachal Pradesh, India.<br><br>\nThe temple is one of the most popular Hindu temples in Himachal Pradesh and is known for its beautiful architecture and its serene surroundings.<br><br>","Chamunda Devi is a ferocious form of Goddess Durga. She is worshipped as the goddess of victory and the destroyer of evil. Her name is derived from the Sanskrit words ""Chamunda"" (meaning ""death"") and ""Devi"" (meaning ""goddess"").<br><br>\nChamunda Devi is said to have been created by Goddess Durga to slay the demons Chanda and Munda. After slaying the demons, Chamunda Devi is said to have become so enraged that she started to destroy everything in her path. Goddess Durga is said to have calmed Chamunda Devi down by offering her blood to drink.<br><br>","Chamunda Devi Temple is located in the village of Dharampur, about 15 kilometers from Dharamshala, Himachal Pradesh, India. The temple is located on a hilltop and offers stunning views of the surrounding mountains and valleys.<br><br>","The Chamunda Devi Temple is believed to be over 1,000 years old. The earliest mention of the temple is found in the ancient Hindu texts, such as the Puranas and the Mahabharata.<br><br>\nThe temple is said to have been built by the Katoch dynasty, which ruled Kangra for over 800 years. The temple was destroyed several times by invaders, but it was always rebuilt.<br><br>\nIn the 16th century, the temple was invaded by the Mughal emperor Akbar. Akbar ordered the destruction of the temple, but the idol of the goddess was saved by the priests of the temple.<br><br>\nThe temple was rebuilt again after the Mughals left Kangra. The present structure of the temple dates back to the 17th century.<br><br>","The Chamunda Devi Temple is one of the most popular Hindu temples in Himachal Pradesh.<br><br>\nThe temple is dedicated to the goddess Chamunda Devi, a ferocious form of Goddess Durga.<br><br>\nThe temple is located on a hilltop and offers stunning views of the surrounding mountains and valleys.<br><br>\nThe temple is known for its beautiful architecture and its serene surroundings.<br><br>"
65424b98d8ce80baf2c12f85,Jwalamukhi Temple,Shakti_Peethas,"31.8757653,76.3243512",Images/Jwalamukhi Temple,"Jwalamukhi Temple is a Hindu temple dedicated to the goddess Jwalamukhi, a form of Goddess Durga. It is located in the town of Jwalamukhi, Kangra district, Himachal Pradesh, India. The temple is one of the 51 Shakti Peethas, which are significant pilgrimage sites associated with the goddess.<br><br>\nThe temple is known for its unique feature of natural flames that emerge from the ground. The flames are said to be the manifestation of the goddess Jwalamukhi.<br><br>","Jwalamukhi is a form of Goddess Durga. She is worshipped as the goddess of fire and light. Her name is derived from the Sanskrit words ""jwala"" (meaning ""flame"") and ""mukhi"" (meaning ""face"").<br><br>\nJwalamukhi is said to have emerged from the tongue of Sati when her body fell to the ground after she self-immolated at her father's yagna. The place where her tongue fell is said to be the Jwalamukhi Temple.<br><br>","Jwalamukhi Temple is located in the town of Jwalamukhi, Kangra district, Himachal Pradesh, India. The town is about 30 kilometers from Dharamshala, a popular tourist destination.","The Jwalamukhi Temple is believed to be over 1,000 years old. The earliest mention of the temple is found in the ancient Hindu texts, such as the Puranas and the Mahabharata.<br><br>\nThe temple is said to have been built by the Katoch dynasty, which ruled Kangra for over 800 years. The temple was destroyed several times by invaders, but it was always rebuilt.<br><br>\nIn the 16th century, the temple was invaded by the Mughal emperor Akbar. Akbar ordered the destruction of the temple, but the natural flames that emerge from the ground could not be extinguished. Akbar is said to have been so impressed by the power of the goddess that he allowed the temple to be rebuilt.<br><br>\nThe present structure of the temple dates back to the 17th century.<br><br>","The Jwalamukhi Temple is one of the 51 Shakti Peethas, which are significant pilgrimage sites associated with the goddess.<br><br>\nThe temple is known for its unique feature of natural flames that emerge from the ground.<br><br>\nThe flames are said to be the manifestation of the goddess Jwalamukhi.<br><br>\nThe temple is a popular destination for both Hindus and Sikhs.<br><br>\nThe temple is also known for its annual Navratri festival, which attracts hundreds of thousands of pilgrims.<br><br>"
65424b98d8ce80baf2c12f86,Bagalamukhi Temple,"Goddess Bagalamukhi, Pitambara Maa","31.9679948,76.2050242",Images/Bagalamukhi Temple,"Bagalamukhi Temple is a Hindu temple dedicated to the goddess Bagalamukhi, one of the ten Mahavidyas. Bagalamukhi is known as the goddess of paralysis, confusion, and bewilderment. She is also worshipped as the goddess of victory and the destroyer of enemies.<br><br>\nThe Bagalamukhi Temple is located in the village of Bankhandi, about 10 kilometers from Dharamshala, Himachal Pradesh, India. The temple is situated on a hilltop and offers stunning views of the surrounding mountains and valleys.<br><br>","Bagalamukhi is one of the ten Mahavidyas. The Mahavidyas are a group of ten goddesses who are worshipped for their fierce and terrifying forms. Bagalamukhi is known as the goddess of paralysis, confusion, and bewilderment. She is also worshipped as the goddess of victory and the destroyer of enemies.<br><br>\nBagalamukhi is said to have been created by Lord Shiva to help him defeat the demon Jalandhara. Jalandhara was a powerful demon who had become invincible due to a boon from Lord Brahma. Lord Shiva created Bagalamukhi to paralyze Jalandhara and make him vulnerable. With Bagalamukhi's help, Lord Shiva was able to defeat Jalandhara and restore peace to the universe.<br><br>","Bagalamukhi Temple is located in the village of Bankhandi, about 10 kilometers from Dharamshala, Himachal Pradesh, India. The temple is situated on a hilltop and offers stunning views of the surrounding mountains and valleys.","The Bagalamukhi Temple is believed to be over 1,000 years old. The earliest mention of the temple is found in the ancient Hindu texts, such as the Puranas and the Mahabharata.<br><br>\nThe temple is said to have been built by the Katoch dynasty, which ruled Kangra for over 800 years. The temple was destroyed several times by invaders, but it was always rebuilt.<br><br>\nIn the 16th century, the temple was invaded by the Mughal emperor Akbar. Akbar ordered the destruction of the temple, but the idol of the goddess was saved by the priests of the temple.<br><br>\nThe temple was rebuilt again after the Mughals left Kangra. The present structure of the temple dates back to the 17th century.<br><br>","The Bagalamukhi Temple is one of the three most important Bagalamukhi temples in India. The other two temples are located in Datia, Madhya Pradesh and Nalkheda, Madhya Pradesh.<br><br>\nThe temple is dedicated to the goddess Bagalamukhi, one of the ten Mahavidyas.<br><br>\nThe temple is located on a hilltop and offers stunning views of the surrounding mountains and valleys.<br><br>\nThe temple is known for its beautiful architecture and its serene surroundings.<br><br>"
65424b98d8ce80baf2c12f87,Baijnath Temple,Lord_Shiva,"32.0507831,76.6458738",Images/Baijnath temple,"Baijnath Temple is a Hindu temple dedicated to Lord Shiva in the form of Vaidyanath, the ""Lord of Physicians"". It is located in the town of Baijnath, Kangra district, Himachal Pradesh, India. The temple is believed to be over 1,000 years old and is one of the most important Shiva temples in North India.","Baijnath is a name of Lord Shiva. It is derived from the Sanskrit words ""baidya"" (meaning ""physician"") and ""nath"" (meaning ""lord""). Baijnath is worshipped as the god of healing and is believed to have the power to cure all diseases.","Baijnath Temple is located in the town of Baijnath, Kangra district, Himachal Pradesh, India. The town is about 16 kilometers from Palampur, a popular tourist destination.","The Baijnath Temple is believed to have been built in the 12th century by two local merchants, Ahuka and Manyuka. The temple was built on the site of an earlier temple, which is believed to have been destroyed by an earthquake.<br><br>\nThe temple is a fine example of Nagara style architecture. It has a large courtyard, a mandapa (hall of congregation), and a garbhagriha (sanctum sanctorum). The sanctum sanctorum houses a black stone lingam of Lord Shiva.<br><br>\nThe temple is also known for its beautiful sculptures and carvings. The walls of the temple are adorned with sculptures of various Hindu deities, including Brahma, Vishnu, Saraswati, and Lakshmi.<br><br>\nThe Baijnath Temple is a popular pilgrimage site for Hindus from all over India. The temple is also visited by a large number of tourists.<br><br>","The Baijnath Temple is one of the most important Shiva temples in North India.<br><br>\nThe temple is believed to be over 1,000 years old.<br><br>\nThe temple is a fine example of Nagara style architecture.<br><br>\nThe temple is known for its beautiful sculptures and carvings.<br><br>\nThe temple is a popular pilgrimage site for Hindus from all over India.<br><br>\nThe temple is also visited by a large number of tourists.<br><br>"
65424b98d8ce80baf2c12f88,Masroor Temple,Lord Rama,"32.072659,76.1373353",Images/Masroor Temple,"Masroor Temple is an early 8th-century complex of rock-cut Hindu temples in the Kangra Valley of Himachal Pradesh, India. It is one of the earliest and best-preserved examples of North Indian Nagara style architecture, and is dedicated to a variety of Hindu deities, including Shiva, Vishnu, Devi, and Saura.","wMasroor is not a person, but a place. The name ""Masroor"" is derived from the Sanskrit word ""Masura"", which means ""mountain"". The temple complex is located on a hilltop, and the temples are carved out of the natural rock.ho","Masroor Temple is located in the village of Masroor, about 45 kilometers southwest of Dharamshala and 35 kilometers west of Kangra town in Himachal Pradesh, India.","The Masroor Temple complex is believed to have been built by the Katoch dynasty, which ruled Kangra for over 800 years. The temples were carved out of the rock over a period of several decades, and they are considered to be one of the finest examples of early Hindu rock-cut architecture.<br><br>\nThe temples were abandoned in the 14th century after the Muslim invasion of Kangra. They were rediscovered in the early 19th century by British explorers, and they have since been restored and preserved by the Archaeological Survey of India.<br><br>","The Masroor Temple complex is one of the earliest and best-preserved examples of North Indian Nagara style architecture.<br><br>\nThe temples are dedicated to a variety of Hindu deities, including Shiva, Vishnu, Devi, and Saura.<br><br>\nThe temples are carved out of the natural rock and are located on a hilltop.<br><br>\nThe Masroor Temple complex is believed to have been built by the Katoch dynasty in the early 8th century.<br><br>\nThe temples were abandoned in the 14th century after the Muslim invasion of Kangra.<br><br>\nThe temples were rediscovered in the early 19th century by British explorers and have since been restored and preserved by the Archaeological Survey of India.<br><br>"
65424b98d8ce80baf2c12f89,Bhagsu Nag Temple,Lord_Shiva and the Nagdevta,"32.244102,76.3347538",Images/Bhagsu Nag Temple,"Bhagsu Nag Temple is a Hindu temple dedicated to Lord Shiva. It is located in the village of Bhagsu Nag, about 3 kilometers from McLeod Ganj in Kangra district, Himachal Pradesh, India.<br><br>\nThe temple is known for its beautiful location in the foothills of the Himalayas and its sacred water tank, which is believed to have healing properties.","Bhagsu Nag is a folk deity who is believed to be the serpent god. He is also believed to be the protector of the water resources of the region. The name ""Bhagsu Nag"" means ""snake god"" in the local dialect.","Bhagsu Nag Temple is located in the village of Bhagsu Nag, about 3 kilometers from McLeod Ganj in Kangra district, Himachal Pradesh, India. The temple can be reached by a short walk from McLeod Ganj.","The Bhagsu Nag Temple is believed to be over 500 years old. The earliest mention of the temple is found in the 16th century.<br><br>\nThe temple is said to have been built by a local ruler named Raja Bhagsu. Raja Bhagsu was a devotee of Lord Shiva and he is believed to have had a vision of Lord Shiva in his dreams. Lord Shiva instructed Raja Bhagsu to build a temple in his honor at the site of the sacred water tank.<br><br>\nThe temple has been rebuilt several times over the centuries, but the sacred water tank remains the main attraction of the temple.<br><br>","Bhagsu Nag Temple is one of the most popular pilgrimage sites in the Kangra region of Himachal Pradesh.<br><br>\nThe temple is dedicated to Lord Shiva.<br><br>\nThe temple is known for its beautiful location in the foothills of the Himalayas and its sacred water tank, which is believed to have healing properties.<br><br>\nThe temple is also popular for its annual Shivratri festival, which attracts thousands of pilgrims from all over India.<br><br>"
65424b98d8ce80baf2c12f8a,Kunal Pathri Temple,Goddess Kapleshwari,"32.2003655,76.3099753",Images/Kunal Pathri,"Kunal Pathri Temple is a small rock-cut Hindu temple dedicated to the goddess Durga. It is located in the village of Kunal Pathri, about 6 kilometers from Dharamshala in Kangra district, Himachal Pradesh, India.<br><br>\nThe temple is known for its unique location on a hilltop and its beautiful views of the surrounding mountains and valleys.","Kunal Pathri is a name given to the goddess Durga after the name of the village where the temple is located. The name ""Kunal Pathri"" means ""stone of tears"" in the local dialect.<br><br>\nIt is believed that the goddess Durga cried tears of sorrow over the death of her husband, Lord Shiva. Her tears fell on the ground and turned into a stone, which is now worshipped as the Kunal Pathri Devi.\n\n","Kunal Pathri Temple is located in the village of Kunal Pathri, about 6 kilometers from Dharamshala in Kangra district, Himachal Pradesh, India. The temple is located on a hilltop and can be reached by a short trek.","The Kunal Pathri Temple is believed to be over 1,000 years old. The earliest mention of the temple is found in the ancient Hindu texts, such as the Puranas and the Mahabharata.<br><br>\nThe temple is said to have been built by the Katoch dynasty, which ruled Kangra for over 800 years. The temple was destroyed several times by invaders, but it was always rebuilt.<br><br>\nThe present structure of the temple dates back to the 17th century.<br><br>","Kunal Pathri Temple is a popular pilgrimage site for Hindus from all over India.<br><br>\nThe temple is dedicated to the goddess Durga.<br><br>\nThe temple is known for its unique location on a hilltop and its beautiful views of the surrounding mountains and valleys.<br><br>\nThe temple is also known for its annual Navratri festival, which attracts thousands of pilgrims.<br><br>"
65424b98d8ce80baf2c12f8b,Nagani Mata Temple,Goddess of serpent,"32.2944161,75.9441588",Images/Nagani Mata,"Nagani Mata Temple is a Hindu temple dedicated to Nagani Mata, a folk deity who is worshipped as the goddess of snakes. It is located in the village of Nurpur, about 6 kilometers from Pathankot on the Pathankot/Kullu highway, in Kangra district, Himachal Pradesh, India.<br><br>\nThe temple is known for its unique feature of a natural spring that is believed to have curative powers for snake bites.",Nagani Mata is a folk deity who is worshipped as the goddess of snakes. She is believed to be the protector of people from snake bites and other snake-related dangers. Nagani Mata is also believed to be the goddess of fertility and prosperity.,"Nagani Mata Temple is located in the village of Nurpur, about 6 kilometers from Pathankot on the Pathankot/Kullu highway, in Kangra district, Himachal Pradesh, India.","The Nagani Mata Temple is believed to be over 500 years old. The earliest mention of the temple is found in the 16th century.<br><br>\nThe temple is said to have been built by a local farmer named Ram Das. Ram Das was bitten by a snake, but he was miraculously cured after drinking water from a natural spring near his house. Ram Das believed that the spring was sacred and that it was the abode of Nagani Mata. He built a temple on the site of the spring to worship Nagani Mata.<br><br>\nThe temple has been rebuilt several times over the centuries, but the natural spring remains the main attraction of the temple.<br><br>","Nagani Mata Temple is one of the most popular pilgrimage sites in the Kangra region of Himachal Pradesh.<br><br>\nThe temple is dedicated to Nagani Mata, the goddess of snakes.<br><br>\nThe temple is known for its unique feature of a natural spring that is believed to have curative powers for snake bites.<br><br>\nThe temple is also popular for its annual Nag Panchami festival, which attracts thousands of pilgrims from all over India.<br><br>"
